Date,Open,High,Low,Close,Volume
2016-08-17,8621.4,8621.4,8553.45,8570.4,132756.40006638
2016-08-18,8621.4,8714.55,8575.95,8621.4,133181.86673326
2016-08-19,8621.4,8706.15,8570.4,8621.4,91579.466712456
2016-08-22,8604.3,8799.45,8595.9,8799.45,152759.33340971
2016-08-23,8841.9,9011.7,8824.95,8986.2,182150.73342441
2016-08-24,8918.25,9045.6,8875.95,9003.15,128921.46673113
2016-08-25,8960.7,8994.75,8816.4,8841.9,159377.53341302
2016-08-26,8867.4,8926.8,8799.45,8918.25,85556.400042778
2016-08-30,8841.9,8926.8,8841.9,8859,142591.13340463
2016-08-31,8833.35,8884.35,8765.55,8782.5,185944.46675964
2016-09-01,8791.05,8816.4,8689.2,8757.15,215039.33344085
2016-09-02,8808,8926.8,8680.8,8875.95,236294.60011815
2016-09-05,8909.85,9050.7,8867.4,8977.8,179358.60008968
2016-09-06,9003.15,9037.05,8851.8,8859,112412.20005621
2016-09-07,8892.9,8909.85,8815.05,8901.3,84863.600042432
2016-09-08,8909.85,8926.8,8757.15,8859,160910.53341379
2016-09-09,8791.05,8850.45,8612.85,8672.25,132206.2000661
2016-09-12,8570.4,8570.4,8481.3,8519.55,112475.40005624
2016-09-13,8536.5,8578.8,8421.9,8426.1,133486.26673341
2016-09-14,8455.8,8464.35,8358.3,8358.3,144316.06673882
2016-09-15,8362.5,8392.2,8315.85,8375.25,105045.53338586
2016-09-16,8379.45,8383.8,8242.05,8243.7,272644.26680299
2016-09-19,8230.95,8298.9,8120.7,8298.9,228743.46678104
2016-09-20,8273.55,8324.4,8162.7,8281.95,160052.53341336
2016-09-21,8324.4,8389.65,8298.9,8303.1,127974.60006399
2016-09-22,8362.5,8413.5,8320.05,8400.75,100299.40005015
2016-09-23,8413.5,8413.5,8375.25,8400.75,151774.46674255
2016-09-26,8392.2,8392.2,8222.55,8235.15,168026.20008401
2016-09-27,8286.15,8286.15,8037.3,8074.05,297165.80014858
2016-09-28,8091,8146.2,8044.35,8082.45,172187.06675276
2016-09-29,6576.3,6610.2,5546.7,5922.9,2284619.6011423
2016-09-30,5863.5,5940.6,5532.6,5685.45,1023180.4005116
2016-10-03,5685.45,7201.95,5583.45,5668.35,622260.4669778
2016-10-04,5702.4,5749.05,5642.25,5655.6,613046.33363986
2016-10-05,5698.05,5732.1,5562.45,5562.45,535147.86693424
2016-10-06,5583.45,5600.55,5354.55,5367.15,582610.53362464
2016-10-07,5375.55,5386.35,5121,5121,782413.66705787
2016-10-10,5112.6,5150.85,5023.5,5078.55,526545.46692994
2016-10-11,5074.35,5121,4950.9,4955.55,445246.00022262
2016-10-12,4947.15,5104.2,4922.4,5019.3,687539.06701044
2016-10-13,4998,5027.7,4855.05,4904.7,452701.60022635
2016-10-14,4921.5,5078.55,4913.1,5010.6,315603.4001578
2016-10-17,4981.05,5087.7,4925.85,4951.35,328336.40016417
2016-10-18,4989.45,5116.8,4968.3,5116.8,528006.06693067
2016-10-19,5155.05,5289.3,5062.65,5244,669600.0003348
2016-10-20,5270.85,5357.25,5253.6,5301.15,500966.46691715
2016-10-21,5275.2,5314.05,5253.6,5305.5,374393.26685386
2016-10-24,5335.65,5411.25,5295.15,5318.4,280012.26680667
2016-10-25,5348.55,5378.85,5236.35,5240.7,205486.60010274
2016-10-26,5245.05,5305.05,5063.55,5201.85,724726.06702903
2016-10-27,5201.85,5262.3,5110.95,5128.2,364713.60018236
