date,qqq_close
2000-01-03,79.92742156982422
2000-01-04,74.44427490234375
2000-01-05,72.54623413085938
2000-01-06,67.56398010253906
2000-01-07,75.92047882080078
2000-01-10,78.02941131591797
2000-01-11,74.23341369628906
2000-01-12,72.59898376464844
2000-01-13,76.9749526977539
2000-01-14,78.76754760742188
2000-01-18,79.18931579589844
2000-01-19,80.98187255859375
2000-01-20,80.19102478027344
2000-01-21,81.19278717041016
2000-01-24,77.29129028320312
2000-01-25,78.4511947631836
2000-01-26,75.28782653808594
2000-01-27,76.3949966430664
2000-01-28,72.54623413085938
2000-01-31,75.65689849853516
2000-02-01,77.68673706054688
2000-02-02,78.3457260131836
2000-02-03,81.4036636352539
2000-02-04,81.95719909667969
2000-02-07,83.09075927734375
2000-02-08,86.57041931152344
2000-02-09,83.51256561279297
2000-02-10,86.25414276123047
2000-02-11,84.25068664550781
2000-02-14,84.14520263671875
2000-02-15,84.75157928466797
2000-02-16,84.35608673095703
2000-02-17,86.14867401123047
2000-02-18,83.03804016113281
2000-02-22,83.3016586303711
2000-02-23,87.94127655029297
2000-02-24,89.83927154541016
2000-02-25,87.7831039428711
2000-02-28,87.73040008544922
2000-02-29,90.0501480102539
2000-03-01,90.78824615478516
2000-03-02,88.68598175048828
2000-03-03,93.6880111694336
2000-03-06,94.42610168457031
2000-03-07,93.00261688232422
2000-03-08,93.84615325927734
2000-03-09,97.00950622558594
2000-03-10,96.5877456665039
2000-03-13,94.05709838867188
2000-03-14,90.57736206054688
2000-03-15,86.78138732910156
2000-03-16,91.7372817993164
2000-03-17,93.47709655761719
2000-03-20,90.84099578857422
2000-03-21,94.2679672241211
2000-03-22,96.16593933105469
2000-03-23,97.85306549072266
2000-03-24,99.1711654663086
2000-03-27,99.329345703125
2000-03-28,96.79862213134766
2000-03-29,92.79174041748047
2000-03-30,90.4719467163086
2000-03-31,92.36994171142578
2000-04-03,86.83409881591797
2000-04-04,85.9905014038086
2000-04-05,84.46156311035156
2000-04-06,86.46503448486328
2000-04-07,89.94470977783203
2000-04-10,84.46156311035156
2000-04-11,82.45809173583984
2000-04-12,77.60761260986328
2000-04-13,74.23341369628906
2000-04-14,67.80119323730469
2000-04-17,75.60420227050781
2000-04-18,77.60761260986328
2000-04-19,75.23507690429688
2000-04-20,73.60071563720703
2000-04-24,71.49180603027344
2000-04-25,76.31593322753906
2000-04-26,73.70616912841797
2000-04-27,76.9749526977539
2000-04-28,79.92742156982422
2000-05-01,80.66554260253906
2000-05-02,76.02591705322266
2000-05-03,75.18238067626953
2000-05-04,75.34056091308594
2000-05-05,77.13314056396484
2000-05-08,74.12796783447266
2000-05-09,72.54623413085938
2000-05-10,67.27396392822266
2000-05-11,71.38634490966797
2000-05-12,71.38634490966797
2000-05-15,74.49698638916016
2000-05-16,76.60588836669922
2000-05-17,75.02421569824219
2000-05-18,72.33537292480469
2000-05-19,68.90840911865234
2000-05-22,68.85565948486328
2000-05-23,63.108917236328125
2000-05-24,67.06309509277344
2000-05-25,65.58686828613281
2000-05-26,65.58686828613281
2000-05-30,72.17717742919922
2000-05-31,70.12104034423828
2000-06-01,73.70616912841797
2000-06-02,78.9784164428711
2000-06-05,79.17610168457031
2000-06-06,76.9749526977539
2000-06-07,79.03113555908203
2000-06-08,78.66206359863281
2000-06-09,79.08386993408203
2000-06-12,76.55316925048828
2000-06-13,79.50562286376953
2000-06-14,77.71305084228516
2000-06-15,79.08386993408203
2000-06-16,79.50562286376953
2000-06-19,82.66897583007812
2000-06-20,82.35264587402344
2000-06-21,83.40711975097656
2000-06-22,80.34922790527344
2000-06-23,77.18583679199219
2000-06-26,79.29478454589844
2000-06-27,78.3457260131836
2000-06-28,79.29478454589844
2000-06-29,77.30445861816406
2000-06-30,78.82026672363281
2000-07-03,80.34922790527344
2000-07-05,77.23857116699219
2000-07-06,79.29478454589844
2000-07-07,80.92915344238281
2000-07-10,79.70333862304688
2000-07-11,80.13829040527344
2000-07-12,82.03630828857422
2000-07-13,83.09075927734375
2000-07-14,84.88333892822266
2000-07-17,85.83232116699219
2000-07-18,83.93429565429688
2000-07-19,82.03630828857422
2000-07-20,84.6724624633789
2000-07-21,81.8254165649414
2000-07-24,80.13829040527344
2000-07-25,80.77095031738281
2000-07-26,80.66554260253906
2000-07-27,77.50218200683594
2000-07-28,73.28437805175781
2000-07-31,75.44599151611328
2000-08-01,74.44427490234375
2000-08-02,73.12620544433594
2000-08-03,76.2895736694336
2000-08-04,76.02591705322266
2000-08-07,77.81849670410156
2000-08-08,79.40020751953125
2000-08-09,77.29129028320312
2000-08-10,75.76231384277344
2000-08-11,76.81678771972656
2000-08-14,78.4511947631836
2000-08-15,78.4511947631836
2000-08-16,79.24203491210938
2000-08-17,80.77095031738281
2000-08-18,80.34922790527344
2000-08-21,80.56010437011719
2000-08-22,80.56010437011719
2000-08-23,81.8781509399414
2000-08-24,83.14348602294922
2000-08-25,82.69532775878906
2000-08-28,83.09075927734375
2000-08-29,83.51256561279297
2000-08-30,83.40711975097656
2000-08-31,85.7269287109375
2000-09-01,86.57041931152344
2000-09-05,83.93429565429688
2000-09-06,80.98187255859375
2000-09-07,82.77442169189453
2000-09-08,80.24373626708984
2000-09-11,78.29301452636719
2000-09-12,77.08039093017578
2000-09-13,78.8729476928711
2000-09-14,78.4511947631836
2000-09-15,77.02767181396484
2000-09-18,75.81507110595703
2000-09-19,78.60935974121094
2000-09-20,79.82199096679688
2000-09-21,74.02249145507812
2000-09-22,78.3984603881836
2000-09-25,76.31593322753906
2000-09-26,75.44599151611328
2000-09-27,75.55145263671875
2000-09-28,77.23857116699219
2000-09-29,74.86605072021484
2000-10-02,73.17890167236328
2000-10-03,70.85913848876953
2000-10-04,72.22993469238281
2000-10-05,72.4408187866211
2000-10-06,70.01554870605469
2000-10-09,69.69923400878906
2000-10-10,66.0613784790039
2000-10-11,65.00691986083984
2000-10-12,63.3725471496582
2000-10-13,68.53934478759766
2000-10-16,69.17204284667969
2000-10-17,66.00863647460938
2000-10-18,65.79777526855469
2000-10-19,71.75541687011719
2000-10-20,72.80989837646484
2000-10-23,72.70441436767578
2000-10-24,69.59378051757812
2000-10-25,65.69232940673828
2000-10-26,67.37947082519531
2000-10-27,67.24764251708984
2000-10-30,64.75652313232422
2000-10-31,68.92157745361328
2000-11-01,68.3284683227539
2000-11-02,69.17204284667969
2000-11-03,70.06829071044922
2000-11-06,69.54107666015625
2000-11-07,69.2774658203125
2000-11-08,63.860206604003906
2000-11-09,63.84703063964844
2000-11-10,60.52550506591797
2000-11-13,60.61777877807617
2000-11-14,63.97883605957031
2000-11-15,65.27051544189453
2000-11-16,61.47452926635742
2000-11-17,61.43494415283203
2000-11-20,58.930667877197266
2000-11-21,58.83836364746094
2000-11-22,56.2022590637207
2000-11-24,59.4183349609375
2000-11-27,58.680233001708984
2000-11-28,55.21370315551758
2000-11-29,53.09161376953125
2000-11-30,53.13117980957031
2000-12-01,53.9879150390625
2000-12-04,54.83147048950195
2000-12-05,59.62923049926758
2000-12-06,57.36215591430664
2000-12-07,56.096797943115234
2000-12-08,57.36215591430664
2000-12-11,62.739837646484375
2000-12-12,60.446441650390625
2000-12-13,57.98166275024414
2000-12-14,55.147804260253906
2000-12-15,53.882469177246094
2000-12-18,53.9879150390625
2000-12-19,49.87554931640625
2000-12-20,47.015357971191406
2000-12-21,47.29216003417969
2000-12-22,51.03546142578125
2000-12-26,51.35178756713867
2000-12-27,51.931732177734375
2000-12-28,51.826290130615234
2000-12-29,49.242881774902344
2001-01-02,45.077796936035156
2001-01-03,52.669837951660156
2001-01-04,51.72083282470703
2001-01-05,47.76664733886719
2001-01-08,48.29387283325195
2001-01-09,48.29387283325195
2001-01-10,50.7718505859375
2001-01-11,52.24807357788086
2001-01-12,52.9202880859375
2001-01-16,52.2876091003418
2001-01-17,53.882469177246094
2001-01-18,56.14952087402344
2001-01-19,55.938636779785156
2001-01-22,55.991363525390625
2001-01-23,57.16443634033203
2001-01-24,56.624027252197266
2001-01-25,54.409698486328125
2001-01-26,55.29281997680664
2001-01-29,56.518592834472656
2001-01-30,56.30771255493164
2001-01-31,54.24097442626953
2001-02-01,54.958003997802734
2001-02-02,51.92119216918945
2001-02-05,51.8790168762207
2001-02-06,51.9633674621582
2001-02-07,51.11979293823242
2001-02-08,49.592952728271484
2001-02-09,47.57683181762695
2001-02-12,48.150474548339844
2001-02-13,46.606746673583984
2001-02-14,48.46259307861328
2001-02-15,49.26397705078125
2001-02-16,46.50552749633789
2001-02-20,44.7003173828125
2001-02-21,43.44339370727539
2001-02-22,43.02161407470703
2001-02-23,43.1734504699707
2001-02-26,43.991722106933594
2001-02-27,41.33448791503906
2001-02-28,40.02696990966797
2001-03-01,41.16578674316406
2001-03-02,39.394309997558594
2001-03-05,40.111328125
2001-03-06,41.671939849853516
2001-03-07,41.68878936767578
2001-03-08,40.9127082824707
2001-03-09,38.044586181640625
2001-03-12,35.6826286315918
