alpha,l1_ratio,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
0.01,0.95,0.6481481481481481,0.03959662712169182,-0.1078896715661175,0.6461683167920635
0.1,0.05,0.6481481481481481,0.04034692135151677,-0.1419682779148852,0.6461308020805723
0.01,0.5,0.6481481481481481,0.04050689033261826,-0.1502617941666552,0.6461228036315172
0.03,0.5,0.6388888888888888,0.03908833642642263,-0.08743209472396046,0.6369344720675677
0.03,0.8,0.6388888888888888,0.03912397189463934,-0.09173915792081244,0.6369326902941569
0.03,0.95,0.6388888888888888,0.03912397189463934,-0.09173915792081244,0.6369326902941569
0.1,0.2,0.6388888888888888,0.03912397189463934,-0.09173915792081244,0.6369326902941569
0.1,0.5,0.6388888888888888,0.03912397189463934,-0.09173915792081244,0.6369326902941569
0.1,0.8,0.6388888888888888,0.03912397189463934,-0.09173915792081244,0.6369326902941569
0.1,0.95,0.6388888888888888,0.03912397189463934,-0.09173915792081244,0.6369326902941569
0.01,0.8,0.6388888888888888,0.039822527064009766,-0.11868069088316004,0.6368977625356883
0.03,0.2,0.6388888888888888,0.04026577716265739,-0.14080323272995993,0.6368756000307559
0.003,0.95,0.5925925925925926,0.0423193752916432,-0.26465625811026317,0.5904766238280104
0.003,0.5,0.5833333333333334,0.04512699703322889,-0.48610453095226613,0.5810769834816719
0.003,0.8,0.5740740740740741,0.042968375322833936,-0.3139235111160495,0.5719256553079324
0.03,0.05,0.5740740740740741,0.0444404158824022,-0.43240428207297843,0.5718520532799539
0.01,0.2,0.574074074074074,0.043599436033221424,-0.3616933708219863,0.5718941022724129
0.0001,0.95,0.5462962962962963,0.05276216627115827,-1.2661470908373473,0.5436581879827384
0.001,0.05,0.5462962962962963,0.05281962269476756,-1.27227413514613,0.5436553151615579
0.0001,0.8,0.5462962962962963,0.05284071785888413,-1.2759189924392857,0.5436542604033521
0.0003,0.2,0.5462962962962963,0.0529187293790674,-1.2849396999250788,0.5436503598273429
0.0001,0.5,0.5462962962962963,0.05304911755288419,-1.301386656678333,0.5436438404186521
3e-05,0.95,0.5370370370370371,0.05324212608468119,-1.3251922522782265,0.5343749307328031
0.0003,0.05,0.5370370370370371,0.05327650717010504,-1.3281912562992302,0.5343732116785318
3e-05,0.8,0.5370370370370371,0.05328265789029699,-1.3298589602262771,0.5343729041425223
0.0001,0.2,0.5370370370370371,0.05329655425942878,-1.3311833824427022,0.5343722093240657
3e-05,0.5,0.5370370370370371,0.05336552088809771,-1.3393450323067866,0.5343687609926322
1e-05,0.95,0.5370370370370371,0.05342415624029276,-1.34627697642474,0.5343658292250224
1e-05,0.8,0.5370370370370371,0.053437667646065425,-1.34783304562818,0.5343651536547338
0.0001,0.05,0.5370370370370371,0.05344344008621112,-1.348025190360909,0.5343648650327265
3e-05,0.2,0.5370370370370371,0.05345736801345517,-1.349939944989516,0.5343641686363644
1e-05,0.5,0.5370370370370371,0.05347170676263835,-1.351670005995017,0.5343634516989052
3e-05,0.05,0.5370370370370371,0.053488715290504175,-1.353574166000803,0.5343626012725119
1e-05,0.2,0.5370370370370371,0.053491123879612204,-1.3540952931049612,0.5343624808430565
1e-05,0.05,0.5370370370370371,0.05350932762073007,-1.3559224473453717,0.5343615706560005
0.001,0.95,0.537037037037037,0.04810437258343996,-0.7555368704504554,0.534631818407865
0.001,0.8,0.537037037037037,0.04887629188711558,-0.8284164944028647,0.5345932224426811
0.01,0.05,0.537037037037037,0.04938685980176058,-0.8832156358170002,0.5345676940469489
0.0003,0.95,0.537037037037037,0.051212509845019585,-1.0748691367846588,0.534476411544786
0.0003,0.5,0.537037037037037,0.05229609637857452,-1.2057713443026925,0.5344222322181083
0.003,0.05,0.5277777777777778,0.051704543586489606,-1.1346431577062328,0.5251925505984533
0.003,0.2,0.5277777777777777,0.049535631411206656,-0.8959165538579297,0.5253009962072174
0.001,0.5,0.5277777777777777,0.05016077812090967,-0.9591478344049368,0.5252697388717322
0.0003,0.8,0.5277777777777777,0.051555996727002035,-1.1138231881754475,0.5251999779414276
0.001,0.2,0.5185185185185185,0.051723193451268544,-1.1340650028180415,0.515932358845955
