n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
50,2,0.03,0.7,0.7,1.0,10.0,0.6759259259259259,0.03205045016501354,-0.12515479395045206,0.6743234034176753
100,3,0.01,0.7,0.6,1.0,2.0,0.6759259259259259,0.032050468793022764,-0.1251578242829819,0.6743234024862748
100,3,0.01,0.7,0.7,1.0,2.0,0.6759259259259259,0.032050468793022764,-0.1251578242829819,0.6743234024862748
100,3,0.01,0.7,0.6,1.0,5.0,0.6759259259259259,0.03205053342752785,-0.12516533717486655,0.6743233992545495
100,3,0.01,0.7,0.7,1.0,5.0,0.6759259259259259,0.03205053342752785,-0.12516533717486655,0.6743233992545495
100,3,0.01,0.7,0.6,1.0,10.0,0.6759259259259259,0.03205062974234507,-0.12517658370975818,0.6743233944388087
100,3,0.01,0.7,0.7,1.0,10.0,0.6759259259259259,0.03205062974234507,-0.12517658370975818,0.6743233944388087
100,2,0.01,0.7,0.6,1.0,2.0,0.6759259259259259,0.03205082726469266,-0.12520765083085184,0.6743233845626913
100,2,0.01,0.7,0.7,1.0,2.0,0.6759259259259259,0.03205082726469266,-0.12520765083085184,0.6743233845626913
100,2,0.01,0.7,0.6,1.0,5.0,0.6759259259259259,0.032050873691627145,-0.12521283639647773,0.6743233822413446
100,2,0.01,0.7,0.7,1.0,5.0,0.6759259259259259,0.032050873691627145,-0.12521283639647773,0.6743233822413446
100,2,0.01,0.7,0.6,1.0,10.0,0.6759259259259259,0.03205094330051993,-0.12522064408918113,0.6743233787609
100,2,0.01,0.7,0.7,1.0,10.0,0.6759259259259259,0.03205094330051993,-0.12522064408918113,0.6743233787609
50,3,0.01,0.7,0.6,1.0,2.0,0.6759259259259259,0.032051217625113315,-0.12525054538563996,0.6743233650446703
50,3,0.01,0.7,0.7,1.0,2.0,0.6759259259259259,0.032051217625113315,-0.12525054538563996,0.6743233650446703
50,3,0.01,0.7,0.6,1.0,5.0,0.6759259259259259,0.03205125562665267,-0.12525473243611918,0.6743233631445933
50,3,0.01,0.7,0.7,1.0,5.0,0.6759259259259259,0.03205125562665267,-0.12525473243611918,0.6743233631445933
50,3,0.01,0.7,0.6,1.0,10.0,0.6759259259259259,0.03205131151842769,-0.12526093633624746,0.6743233603500045
50,3,0.01,0.7,0.7,1.0,10.0,0.6759259259259259,0.03205131151842769,-0.12526093633624746,0.6743233603500045
50,2,0.01,0.7,0.6,1.0,2.0,0.6759259259259259,0.03205140839159332,-0.12527275388290096,0.6743233555063463
50,2,0.01,0.7,0.7,1.0,2.0,0.6759259259259259,0.03205140839159332,-0.12527275388290096,0.6743233555063463
50,2,0.01,0.7,0.6,1.0,5.0,0.6759259259259259,0.032051435224790516,-0.12527573732026573,0.6743233541646864
50,2,0.01,0.7,0.7,1.0,5.0,0.6759259259259259,0.032051435224790516,-0.12527573732026573,0.6743233541646864
50,2,0.01,0.7,0.6,1.0,10.0,0.6759259259259259,0.03205147496352975,-0.12528018760215848,0.6743233521777494
50,2,0.01,0.7,0.7,1.0,10.0,0.6759259259259259,0.03205147496352975,-0.12528018760215848,0.6743233521777494
50,2,0.01,0.6,0.6,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.6,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.6,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.7,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.7,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.7,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.6,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.7,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.7,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.7,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.7,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.7,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.01,0.7,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.6,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.6,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.6,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.7,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.7,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.7,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.6,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.7,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.7,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.7,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.7,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.7,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,2,0.03,0.7,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.6,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.6,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.6,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.7,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.7,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.7,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.6,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.7,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.7,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.7,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.7,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.7,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.01,0.7,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.03,0.6,0.6,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.03,0.6,0.6,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.03,0.6,0.6,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.03,0.6,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.03,0.6,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.03,0.6,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.03,0.6,0.7,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.03,0.6,0.7,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
50,3,0.03,0.6,0.7,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
