n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
50,2,0.01,0.6,0.7,0.5,5.0,0.5925925925925926,0.32202680467211203,-0.8762505365923031,0.5764912523589869
100,2,0.01,0.6,0.7,2.0,10.0,0.5925925925925926,0.32260166852499134,-0.877640893933168,0.576462509166343
100,3,0.01,0.6,0.7,2.0,10.0,0.5925925925925926,0.3227066120133981,-0.8792372710813131,0.5764572619919226
50,3,0.03,0.6,0.6,2.0,10.0,0.5925925925925926,0.32282245714152014,-0.8794200153517415,0.5764514697355165
50,2,0.01,0.6,0.6,0.5,5.0,0.5925925925925926,0.3225065890343732,-0.8806015185435381,0.5764672631408739
50,3,0.01,0.6,0.7,0.5,5.0,0.5925925925925926,0.3227535326480631,-0.8808400850368365,0.5764549159601894
50,3,0.01,0.6,0.6,1.0,2.0,0.5925925925925926,0.3227092466821919,-0.8810200104466595,0.576457130258483
100,3,0.01,0.7,0.6,2.0,10.0,0.5925925925925926,0.323313325312413,-0.8828965814142732,0.5764269263269719
50,2,0.01,0.7,0.7,1.0,5.0,0.5925925925925926,0.3224505935525374,-0.8834469503081269,0.5764700629149657
50,2,0.01,0.7,0.6,1.0,5.0,0.5925925925925926,0.32266569987646126,-0.8836572068665753,0.5764593075987695
50,2,0.03,0.6,0.6,2.0,10.0,0.5925925925925926,0.32271260840179034,-0.8848710624977534,0.5764569621725031
100,3,0.01,0.6,0.6,1.0,10.0,0.5925925925925926,0.32355493026018395,-0.8849484828667664,0.5764148460795834
50,3,0.01,0.7,0.7,1.0,5.0,0.5925925925925926,0.32295991174116195,-0.8854190297244074,0.5764445970055344
100,3,0.01,0.7,0.7,2.0,10.0,0.5925925925925926,0.323310442494652,-0.886050247269434,0.57642707046786
50,3,0.01,0.6,0.7,1.0,2.0,0.5925925925925926,0.3228979240573008,-0.8863552094666923,0.5764476963897275
100,2,0.01,0.7,0.6,2.0,10.0,0.5925925925925926,0.3233077842270501,-0.8865516924106231,0.5764272033812401
100,3,0.01,0.6,0.6,2.0,10.0,0.5925925925925926,0.32320286739587784,-0.8869667586823589,0.5764324492227987
