n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
50,3,0.03,0.6,0.7,0.5,10.0,0.5,0.04471239897939121,-0.1688518693041166,0.49776438005103046
50,3,0.03,0.7,0.7,0.5,2.0,0.49074074074074076,0.0451970369652737,-0.2014470198708027,0.4884808888924771
100,3,0.03,0.7,0.7,0.5,10.0,0.49074074074074076,0.04527804867325965,-0.2124065980367763,0.4884768383070778
100,3,0.03,0.7,0.7,0.5,5.0,0.49074074074074076,0.04544761114614828,-0.22533719453993342,0.4884683601834333
100,3,0.03,0.6,0.6,1.0,2.0,0.4907407407407407,0.0445348475629052,-0.15185740565383327,0.48851399836259546
100,3,0.03,0.6,0.6,1.0,5.0,0.4907407407407407,0.04453628162194479,-0.1519658640284643,0.48851392665964344
100,3,0.03,0.6,0.6,1.0,10.0,0.4907407407407407,0.044538051324506,-0.1520937860970669,0.4885138381745154
100,2,0.03,0.6,0.6,1.0,2.0,0.4907407407407407,0.04454513996970026,-0.1525994922152152,0.48851348374225567
100,3,0.03,0.6,0.7,1.0,5.0,0.4907407407407407,0.04454862084067462,-0.1526935891258643,0.488513309698707
100,3,0.03,0.6,0.7,1.0,2.0,0.4907407407407407,0.044548740914738455,-0.152700234005241,0.4885133036950038
100,3,0.03,0.6,0.7,1.0,10.0,0.4907407407407407,0.04455067339684641,-0.15288781512088997,0.4885132070708984
100,2,0.03,0.6,0.7,1.0,2.0,0.4907407407407407,0.04454760635023111,-0.1530087547032562,0.4885133604232291
100,2,0.03,0.6,0.6,1.0,5.0,0.4907407407407407,0.044549779350429974,-0.15301438025069514,0.4885132517732192
100,2,0.03,0.6,0.7,1.0,5.0,0.4907407407407407,0.044547887437363924,-0.15301925315431042,0.4885133463688725
100,2,0.03,0.6,0.7,1.0,10.0,0.4907407407407407,0.04454836059326004,-0.15303937222643663,0.4885133227110777
100,2,0.03,0.6,0.6,1.0,10.0,0.4907407407407407,0.04455045084845193,-0.15306222520098456,0.4885132181983181
100,3,0.01,0.6,0.6,1.0,2.0,0.4907407407407407,0.04455209886130574,-0.15323122396088498,0.4885131357976754
100,3,0.01,0.6,0.6,1.0,5.0,0.4907407407407407,0.04455412007076008,-0.15335533207142124,0.4885130347372027
100,3,0.01,0.6,0.6,1.0,10.0,0.4907407407407407,0.04455475124998418,-0.15340361418689982,0.4885130031782415
100,3,0.01,0.6,0.7,1.0,2.0,0.4907407407407407,0.0445579638837418,-0.1535919077663056,0.4885128425465536
100,3,0.01,0.6,0.7,1.0,5.0,0.4907407407407407,0.044558099979649775,-0.15360629110449595,0.4885128357417582
100,2,0.01,0.6,0.6,1.0,2.0,0.4907407407407407,0.04455877758516318,-0.1537190194057488,0.48851280186148255
100,2,0.01,0.6,0.6,1.0,5.0,0.4907407407407407,0.044558938117444616,-0.15373156203609656,0.48851279383486845
100,2,0.01,0.6,0.6,1.0,10.0,0.4907407407407407,0.04455919330675642,-0.15375177770315707,0.48851278107540286
100,3,0.01,0.6,0.7,1.0,10.0,0.4907407407407407,0.04456026955877808,-0.15375844502049824,0.4885127272628018
100,2,0.01,0.6,0.7,1.0,2.0,0.4907407407407407,0.04455872858585139,-0.15377534318870703,0.4885128043114481
100,2,0.01,0.6,0.7,1.0,5.0,0.4907407407407407,0.04455882343092802,-0.15377991943229574,0.4885127995691943
100,2,0.01,0.6,0.7,1.0,10.0,0.4907407407407407,0.044558998314063,-0.15378974712171228,0.48851279082503757
50,3,0.01,0.6,0.6,1.0,2.0,0.4907407407407407,0.0445633180025072,-0.15403059450454995,0.48851257484061533
50,2,0.01,0.6,0.6,2.0,2.0,0.4907407407407407,0.04456317581025438,-0.1540962624516164,0.48851258195022795
50,2,0.01,0.6,0.6,2.0,5.0,0.4907407407407407,0.04456317581025438,-0.1540962624516164,0.48851258195022795
50,2,0.01,0.6,0.6,2.0,10.0,0.4907407407407407,0.04456317581025438,-0.1540962624516164,0.48851258195022795
50,2,0.01,0.6,0.7,2.0,2.0,0.4907407407407407,0.04456317581025438,-0.1540962624516164,0.48851258195022795
