n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
100,2,0.03,0.7,0.6,1.0,5.0,0.6388888888888888,0.03910461770099786,-0.08852301646932154,0.6369336580038389
100,3,0.03,0.7,0.6,1.0,10.0,0.6388888888888888,0.03911153715682736,-0.08853993030515668,0.6369333120310474
50,2,0.03,0.7,0.6,1.0,2.0,0.6388888888888888,0.03909329398999842,-0.0885448610826152,0.6369342241893889
100,2,0.03,0.7,0.7,1.0,10.0,0.6388888888888888,0.03910586177516572,-0.08854641083491324,0.6369335958001305
50,2,0.01,0.7,0.7,0.5,5.0,0.6388888888888888,0.03911347345377027,-0.08857353068816609,0.6369332152162003
100,2,0.03,0.7,0.6,1.0,10.0,0.6388888888888888,0.03910722740312063,-0.08875863570452114,0.6369335275187328
50,2,0.03,0.7,0.6,1.0,5.0,0.6388888888888888,0.039097035590361956,-0.08876786761341429,0.6369340371093707
50,2,0.03,0.7,0.6,1.0,10.0,0.6388888888888888,0.03909865270935575,-0.08894198363237231,0.6369339562534211
50,3,0.03,0.6,0.6,1.0,5.0,0.6388888888888888,0.039093539508559996,-0.08926456222964685,0.6369342119134609
50,3,0.03,0.6,0.6,1.0,2.0,0.6388888888888888,0.039095252813886025,-0.08926956376840879,0.6369341262481946
50,3,0.03,0.6,0.7,1.0,5.0,0.6388888888888888,0.03909373334316403,-0.08927832845523596,0.6369342022217306
50,3,0.03,0.6,0.7,1.0,2.0,0.6388888888888888,0.03909543634387971,-0.08928394250906901,0.6369341170716949
100,2,0.01,0.6,0.7,0.5,2.0,0.6388888888888888,0.03913741040413346,-0.08936002179055749,0.6369320183686822
100,2,0.03,0.6,0.6,1.0,10.0,0.6388888888888888,0.039095063400597777,-0.08936075590087711,0.6369341357188589
50,3,0.03,0.6,0.6,1.0,10.0,0.6388888888888888,0.03909509766943215,-0.08942122082877825,0.6369341340054172
100,2,0.03,0.6,0.7,1.0,5.0,0.6388888888888888,0.03909866522920778,-0.08946386189652666,0.6369339556274285
100,2,0.03,0.6,0.7,1.0,10.0,0.6388888888888888,0.03909840658264977,-0.08948300200643561,0.6369339685597564
100,3,0.03,0.6,0.7,1.0,10.0,0.6388888888888888,0.03910636506929829,-0.08957597169989949,0.6369335706354239
100,3,0.03,0.6,0.7,1.0,5.0,0.6388888888888888,0.03910647638648419,-0.0895817242051242,0.6369335650695647
50,3,0.03,0.6,0.7,1.0,10.0,0.6388888888888888,0.03909928440253197,-0.08959034363107721,0.6369339246687622
100,2,0.03,0.6,0.6,1.0,5.0,0.6388888888888888,0.039100726474410784,-0.08962392903168118,0.6369338525651683
100,2,0.03,0.6,0.6,1.0,2.0,0.6388888888888888,0.039102319291812335,-0.08966718809082229,0.6369337729242982
50,3,0.01,0.7,0.7,1.0,2.0,0.6388888888888888,0.03910368662227846,-0.08971628081532372,0.6369337045577749
50,3,0.01,0.7,0.7,1.0,5.0,0.6388888888888888,0.03910472813853395,-0.08981215710179777,0.6369336524819621
50,2,0.01,0.6,0.7,0.5,10.0,0.6388888888888888,0.03911422943296211,-0.08988332143051109,0.6369331774172408
100,2,0.01,0.6,0.7,0.5,10.0,0.6388888888888888,0.03914339894830325,-0.08988514387124108,0.6369317189414737
100,2,0.03,0.6,0.7,1.0,2.0,0.6388888888888888,0.03910842703989862,-0.0899333597670894,0.636933467536894
50,3,0.01,0.7,0.7,1.0,10.0,0.6388888888888888,0.039105927375746335,-0.08993625678402162,0.6369335925201015
50,2,0.03,0.6,0.6,1.0,5.0,0.6388888888888888,0.03910339736884886,-0.0899963001177707,0.6369337190204464
