asset,weight,regime,regime_confidence,as_of_date
spx,0.0,credit_stress,0.9999999637012608,2026-03-01 00:00:00
ndx,0.0,credit_stress,0.9999999637012608,2026-03-01 00:00:00
gold,0.535152351568726,credit_stress,0.9999999637012608,2026-03-01 00:00:00
btc,0.46484764843127413,credit_stress,0.9999999637012608,2026-03-01 00:00:00
