,spx,ndx,gold,btc
spx,0.0016496520025261704,0.0010765890469460098,0.00012842882363173184,0.001406932204616561
ndx,0.0010765890469460098,0.002142062155163773,-7.733190121655239e-05,0.0015086360697690528
gold,0.00012842882363173184,-7.733190121655239e-05,0.003007223338484879,-0.0005587338846245953
btc,0.001406932204616561,0.0015086360697690528,-0.0005587338846245953,0.014072561321539083
