date,us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_level,spx_vol_3m,eurusd_return,gbpusd_return,spx_return,ndx_return,gold_return,ecb_level,ecb_yoy,regime_confidence,regime_label,btc_target
2010-08-01,0.47,2.47,2.0,0.0115017753951125,6.92,26.05,0.0685090118304625,-0.0280548375876176,-0.0221644277253127,-0.0486118031703826,-0.0531982022194622,0.0547314169159059,2009.0,0.0004980079681276,0.9956357188294646,crisis,-0.0482439073612988
2010-09-01,0.42,2.53,2.11,0.0111831224723317,6.26,23.7,0.0720237094756846,0.0714698349062279,0.0232471269362588,0.0839284750952826,0.1226401860020465,0.048343170196408,2009.0,0.0004980079681276,0.9986072766299052,crisis,1.0281877446510228
2010-10-01,0.34,2.63,2.29,0.0116669514893146,5.93,21.2,0.0671285528405127,0.0230662290000988,0.0207258040877111,0.0361930007106875,0.0613462453003941,0.0379426956856523,2009.0,0.0004980079681276,0.9468789174206742,crisis,0.2837749695869723
2010-11-01,0.45,2.81,2.36,0.0108454477660033,6.22,23.54,0.0431933018683986,-0.0717059788879616,-0.0305125582502565,-0.0022929094870601,-0.0033570843781971,0.0202130085778786,2009.0,0.0004980079681276,0.6767296904237636,crisis,0.2661380428870651
2010-12-01,0.61,3.3,2.69,0.0143779302221793,5.41,17.75,0.0329401643174912,0.0307226347675929,0.0033369728712915,0.063256517221926,0.0463869060399851,0.0240451857375445,2010.0,0.0004977600796416,0.999713644619392,calm,0.4697952742079989
2011-01-01,0.58,3.42,2.84,0.0170078349150297,5.08,19.53,0.0331057623026962,0.0225292979731683,0.025490770154051,0.022392985256517,0.0284700445654577,-0.0636120793697041,2010.0,0.0004977600796416,0.9999929818209649,calm,0.6176437138619857
2011-02-01,0.69,3.42,2.73,0.0212489817333314,4.78,18.35,0.0214600882172978,0.0085818708515951,0.0157385986142564,0.0314565950401448,0.0298237044661175,0.0568170202379504,2010.0,0.0004977600796416,0.9998391148954964,calm,-0.1195683362226503
2011-03-01,0.8,3.47,2.67,0.026192415103541,4.77,17.74,0.0167737930694239,0.0260887468848501,-0.0139290951098792,-0.0010478506829378,-0.0051173037781766,0.0148230071039318,2010.0,0.0004977600796416,0.9995699454783936,calm,1.02936612437332
2011-04-01,0.61,3.32,2.71,0.0307723444478686,4.76,14.75,0.0178756998881788,0.0437582748831319,0.040679848640937,0.0280969163671291,0.0274480817279169,0.0878228493328501,2010.0,0.0004977600796416,0.9883809965991508,calm,1.3814877495894429
2011-05-01,0.45,3.05,2.6,0.034589718808965,5.09,15.45,0.0213886100366157,-0.0282866512070571,-0.0154415276383579,-0.0135928938996372,-0.0132061827771849,-0.017993270255223,2010.0,0.0004977600796416,0.9955096811919204,calm,0.6493021553743552
