date,us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_level,spx_vol_3m,eurusd_return,gbpusd_return,spx_return,ndx_return,gold_return,ecb_level,ecb_yoy,regime_confidence,regime_label,ndx_target
2003-02-01,1.53,3.71,2.18,0.0314606741573033,8.38,29.63,0.0235622417514307,0.0024112039874609,-0.0464276005989007,-0.0171498442588397,0.0267881673995372,-0.0555270921078645,2002.0,0.0004997501249375,0.9992771506026258,crisis,0.0087951661412313
2003-03-01,1.51,3.83,2.3200000000000003,0.0302521008403362,7.72,29.15,0.0185603197052716,0.0096788329904633,0.0044374082321235,0.0083228742528296,0.0087951661412313,-0.0375135561889674,2002.0,0.0004997501249375,0.9958114482909354,crisis,0.0823161130644788
2003-04-01,1.51,3.89,2.38,0.0217512548800891,6.44,21.21,0.0492160463505126,0.0253613810190095,0.0113208756244822,0.0779273500294767,0.0823161130644788,0.0056581449344141,2002.0,0.0004997501249375,0.8484750933512625,calm,0.0797575246014618
2003-05-01,1.33,3.37,2.04,0.018941504178273,6.79,19.47,0.035005261043031,0.0524419055659723,0.0230591616008957,0.0496456654892877,0.0797575246014618,0.0706445628676546,2002.0,0.0004997501249375,0.9510237289336724,calm,0.0031672235779422
2003-06-01,1.32,3.54,2.22,0.0194877505567929,6.13,19.52,0.0334617623629848,-0.0224863576752871,0.0121486035232587,0.0112586260108521,0.0031672235779422,-0.0435466031004037,2002.0,0.0004997501249375,0.9755794165362548,calm,0.0607376914691744
2003-07-01,1.8,4.49,2.6900000000000004,0.0205555555555554,5.67,19.49,0.0209072883756073,-0.0254936450750173,-0.0279794185966641,0.0160935064787736,0.0607376914691744,0.0249745409824278,2002.0,0.0004997501249375,0.9999689101207624,calm,0.0490981447847477
2003-08-01,1.95,4.45,2.5,0.0221606648199446,5.46,18.63,0.003358958913438,-0.0226023758995144,-0.0204485579556249,0.0177153437906361,0.0490981447847477,0.0571114312939557,2002.0,0.0004997501249375,0.9998579545881922,calm,-0.0283583599233403
2003-09-01,1.5,3.96,2.46,0.0237831858407078,5.51,22.72,0.0167170293329466,0.0596598364063357,0.0513820103507788,-0.0120162325679856,-0.0283583599233403,0.0324805922891656,2002.0,0.0004997501249375,0.9996195525967506,calm,0.0829050053915933
2003-10-01,1.85,4.33,2.48,0.0204194260485652,4.73,16.1,0.0328068839770925,-0.0061967665375113,0.0212628242221819,0.0535042684649465,0.0829050053915933,-0.008801506468594,2002.0,0.0004997501249375,0.9982539889092858,calm,0.0055339783001784
2003-11-01,2.06,4.34,2.28,0.0192837465564739,4.48,16.32,0.0336935862554219,0.0350347549365535,0.0148575498629203,0.0071032253560451,0.0055339783001784,0.0344993968515922,2002.0,0.0004997501249375,0.9953625389068428,calm,0.0302010734161931
2003-12-01,1.84,4.27,2.43,0.0203520352035202,4.18,18.31,0.0257164971875781,0.0480118242179791,0.036485834613138,0.0495188993064712,0.0302010734161931,0.0469823325356729,2003.0,0.0004995004995005,0.9982650229772508,calm,0.0169946677161029
2004-01-01,1.84,4.16,2.3200000000000003,0.02026286966046,4.05,16.63,0.0221687332263356,-0.0097405959763493,0.021214343456535,0.0171288822629672,0.0169946677161029,-0.0389762852690733,2003.0,0.0004995004995005,0.9883956567464908,calm,-0.0153202297249059
2004-02-01,1.66,3.99,2.33,0.0168845315904138,4.34,14.55,0.0202961385723253,0.0020037677525555,0.0234540202538834,0.0121351008291258,-0.0153202297249059,-0.0156969381041288,2003.0,0.0004995004995005,0.9750341346565368,calm,-0.0219825339056289
2004-03-01,1.6,3.86,2.26,0.017400761283306,4.41,16.74,0.01814335945256,-0.0141114303919296,-0.0116853326092061,-0.016494220669989,-0.0219825339056289,0.0700133184637712,2003.0,0.0004995004995005,0.9953052035105022,calm,-0.0260951432188746
2004-04-01,2.31,4.53,2.22,0.0229257641921398,3.91,17.19,0.0166573721642736,-0.0272478477886389,-0.0390473991729085,-0.016933393494544,-0.0260951432188746,-0.0867324878248114,2003.0,0.0004995004995005,0.980872261565434,calm,0.0452444667569211
2004-05-01,2.54,4.66,2.12,0.0289775833788954,4.28,15.5,0.0165857427438116,0.0174550487852447,0.0318173385946595,0.0120110242055643,0.0452444667569211,0.0130419953703963,2003.0,0.0004995004995005,0.7885626319204383,calm,0.0338097013044186
2004-06-01,2.7,4.62,1.92,0.0316766794101583,4.1,14.34,0.0186192889208033,-0.0009024901133539,-0.0074476002750443,0.0178291892493125,0.0338097013044186,0.005573867990367,2003.0,0.0004995004995005,0.8823950901458333,inflation_stress,-0.079746592466626
2004-07-01,2.68,4.5,1.82,0.0293957539466522,4.02,15.32,0.0289059278352762,-0.0133864170501531,-0.0001099384345874,-0.0348922382153303,-0.079746592466626,-0.0217094466477588,2003.0,0.0004995004995005,0.9617144499018244,inflation_stress,-0.0229039975335796
2004-08-01,2.41,4.13,1.7199999999999998,0.0254742547425472,4.06,15.29,0.0270902986480154,0.0131401419596336,-0.0090008614516771,0.0022847205717138,-0.0229039975335796,0.050227660961448,2003.0,0.0004995004995005,0.902439114882502,inflation_stress,0.0316843093871702
2004-09-01,2.63,4.14,1.5099999999999998,0.0253916801728795,3.83,13.34,0.0237570268554998,0.02015672924905,0.0048694208655656,0.0093203368022064,0.0316843093871702,0.0204163124949425,2003.0,0.0004995004995005,0.9863293851370402,inflation_stress,0.0510412700502935
2004-10-01,2.56,4.05,1.4899999999999998,0.0319091400757165,3.63,16.27,0.0058585791920686,0.028867984000852,0.013542244843075,0.0139169558782137,0.0510412700502935,0.0295132531738033,2003.0,0.0004995004995005,0.9903016705376584,inflation_stress,0.0554582260956327
2004-11-01,3.02,4.36,1.3400000000000003,0.036216216216216,3.17,13.24,0.01532879826844,0.0377403279828471,0.0388268672006136,0.037868779461133,0.0554582260956327,0.0518887722761379,2003.0,0.0004995004995005,0.9999914599697368,inflation_stress,0.0310866911356333
2004-12-01,3.08,4.24,1.16,0.0334231805929918,3.1,13.29,0.0124748458171736,0.0206377225913082,0.0053288877997371,0.0319424911931921,0.0310866911356333,-0.0292550116196858,2004.0,0.000499251123315,0.9999917954808668,inflation_stress,-0.0646503842172782
2005-01-01,3.29,4.14,0.8499999999999996,0.028448738593666,3.29,12.82,0.0350674516966871,-0.0386398038221972,-0.0186174191367681,-0.0256157479685159,-0.0646503842172782,-0.0372222546770597,2004.0,0.000499251123315,0.9998933025041712,inflation_stress,-0.0056819647034638
2005-02-01,3.59,4.36,0.7700000000000005,0.0305302624531333,2.83,12.08,0.0301492823184761,0.0128699944950113,0.019086254610154,0.0187269348743377,-0.0056819647034638,0.0326445401140539,2004.0,0.000499251123315,0.9999699704415628,inflation_stress,-0.0190348316976902
2005-03-01,3.8,4.5,0.7000000000000002,0.0320684126135757,3.52,14.02,0.0239874430334781,-0.019406216773098,-0.0159062646503453,-0.0193027522545287,-0.0190348316976902,-0.0185233358215757,2004.0,0.000499251123315,0.9999974274279176,inflation_stress,-0.0425370328299748
2005-04-01,3.66,4.21,0.5499999999999998,0.0336179295624332,4.19,15.31,0.0222539727505627,-0.0068899053280268,0.0101085413772221,-0.0203135193476703,-0.0425370328299748,0.0153064212826757,2004.0,0.000499251123315,0.9999851757314802,inflation_stress,0.0822756970716719
2005-05-01,3.6,4.0,0.3999999999999999,0.0286928799149841,4.13,13.29,0.0284796071358889,-0.0449638884872978,-0.049227661638532,0.0295122233851057,0.0822756970716719,-0.0425496079646329,2004.0,0.000499251123315,0.9998695556181898,inflation_stress,-0.0323530020674483
2005-06-01,3.66,3.94,0.2799999999999998,0.0254102699841185,3.85,12.04,0.0250628570979219,-0.0176241292729878,-0.0149128245295548,-0.000142687476898,-0.0323530020674483,0.0430098012539326,2004.0,0.000499251123315,0.9999744963294108,inflation_stress,0.0720752302452847
2005-07-01,4.02,4.28,0.2600000000000007,0.0306716023268112,3.3,11.57,0.0190267561784224,0.0034673526028945,-0.0184898164872602,0.0353364518647291,0.0720752302452847,-0.0115688472137969,2004.0,0.000499251123315,0.9999997975416952,inflation_stress,-0.0147044399134623
2005-08-01,3.84,4.02,0.1799999999999997,0.0364693446088795,3.66,12.6,0.0243465750325327,0.0168345889571356,0.0256136222151113,-0.0112854679723591,-0.0147044399134623,0.0094963076118245,2004.0,0.000499251123315,0.9999985683859618,inflation_stress,0.0125340511358209
