feature,mean_abs_shap
us2y_yield,0.0
us10y_yield,0.0
yield_spread,0.0
us_cpi_yoy,0.0
high_yield_spread,0.0
vix_level,0.0
spx_vol_3m,0.0
eurusd_return,0.0
gbpusd_return,0.0
spx_return,0.0
ndx_return,0.0
gold_return,0.0
ecb_level,0.0
ecb_yoy,0.0
regime_confidence,0.0
regime_label_calm,0.0
regime_label_credit_stress,0.0
regime_label_crisis,0.0
regime_label_inflation_stress,0.0
