us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_level,spx_vol_3m,eurusd_return,gbpusd_return,spx_return,ndx_return,gold_return,ecb_level,ecb_yoy,regime_confidence,regime_label_calm,regime_label_credit_stress,regime_label_crisis,regime_label_inflation_stress
0.0030214866,-6.1408864e-05,0.0025136448,-0.0004212339,0.001141118,-0.005691129,0.015651992,0.0017701716,-0.0038249397,-0.008033416,0.0048032557,-0.0024414607,-0.0027665456,9.6283955e-05,0.0031475988,0.00021855741,0.0012473444,-6.202219e-06,0.0
0.0022546363,0.0008432716,0.0033153929,-0.0008010054,0.0011723248,-0.0034190873,0.013420219,0.0012726675,-0.0015277413,-0.0013584163,-0.00078026066,-0.0006393953,-0.0014143963,9.347075e-05,0.0031521975,-2.5660447e-05,0.0010095122,7.06048e-07,0.0
0.0017743267,0.0037843576,0.0041615027,-5.4520035e-05,0.0014101373,-0.0009974325,0.007429418,-0.006364496,0.0013501674,0.004156937,-0.0035124926,-0.0015730369,-0.00076182093,8.968468e-05,-0.00020886045,-9.367947e-05,-8.116163e-05,-3.7154736e-05,0.0
0.0010362227,0.0029453612,-0.00079600787,0.0021689082,-0.0011461158,-0.0032147998,-0.00982844,0.0027423475,0.0027318946,-0.016536906,-0.0005927411,-0.0025496637,-0.0021446438,0.00014152519,0.0015412247,1.7906725e-05,-8.116163e-05,-6.202218e-06,0.0
0.0015535505,-0.01476198,0.0031032502,0.00033218294,-0.0006142723,0.004657814,0.0087270355,0.011327348,0.008878326,0.00081515155,-0.00041805283,-0.0047634537,-0.002463082,0.00011040145,0.003299378,-1.9041461e-05,0.00033951993,-1.5926866e-05,0.0
0.0030116842,-0.012788307,-0.0002890201,-0.00029905472,-0.0025795116,-0.0038739638,0.014190099,0.0062572323,-0.0007442039,-0.014038715,0.003516233,-0.0024886597,-0.0020471916,0.00024822075,0.0045072255,-1.3241618e-05,0.0004282024,-6.202218e-06,0.0
0.0014573182,-0.014079573,0.004112349,-0.00041028723,-0.0011682209,-0.006338588,0.0102985725,-0.0067842645,0.004753086,0.008577791,-0.0017034669,-0.003275179,-0.0025964226,9.347075e-05,0.0062939436,-2.8438684e-05,0.0004207941,-3.7154736e-05,0.0
-0.00096700044,-0.011640916,0.0036207868,0.0012868356,0.0008566088,0.0016514661,0.0024987345,-0.008663712,0.0007005241,0.0021530248,0.0012542967,-0.0092428,-0.0010477896,0.00023549373,8.84191e-05,7.1145023e-06,0.0004039269,-5.5470728e-06,0.0
0.0018461467,-0.017330078,0.0041147275,-0.0014234807,-0.0019038862,-0.0065778475,-0.0064022015,-0.004043855,0.00041904137,0.004825676,-2.0519527e-05,0.00043652783,-0.0014488333,0.00013288982,-0.0014573635,-9.6457705e-05,-2.9658291e-05,-5.5470728e-06,0.0
0.0011426633,-0.011632901,0.0037556062,0.003366581,-0.0005920137,-0.0015122571,-0.0063577294,0.006478183,-0.008252536,0.0033742432,0.00299816,-0.0014692022,-0.0018742201,0.00016865996,0.00031111174,3.3163647e-05,-6.974695e-05,-5.5470737e-06,0.0
0.00096782,-0.01437215,0.0034594338,0.0026876975,-0.00042355305,-0.0017091992,-0.00997085,-0.004671,0.0036549398,-0.0044764504,-0.0036172622,-0.00046890567,-0.0016979432,0.00013971505,-0.00053459033,1.5279478e-05,-3.3218545e-05,-6.202218e-06,0.0
0.0006627566,-0.007953108,-0.0006754318,0.0019523908,-0.0036145318,-0.0028236487,-0.0048857466,0.006032629,0.0022032573,-0.001575713,-0.0019712131,0.0014774473,-0.001907053,0.00020273082,0.002450251,0.00023751191,-6.974695e-05,-6.202219e-06,0.0
-5.2465925e-06,-0.01268363,0.003768127,0.0032790608,0.0009432015,0.0027108623,-0.006535685,-0.004984042,0.006694921,0.0058172825,-0.00057275157,-0.0011193344,-0.0004092007,0.0004060008,0.0048861825,-5.743241e-05,-3.5571804e-05,-5.5470728e-06,0.0
