us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_level,spx_vol_3m,eurusd_return,gbpusd_return,spx_return,ndx_return,gold_return,ecb_level,ecb_yoy,regime_confidence,regime_label_calm,regime_label_credit_stress,regime_label_crisis,regime_label_inflation_stress
0.001538091,0.009510439,0.00242063,0.0012658972,0.0028382924,-0.002615894,-0.013653527,-0.0010336096,-0.0010108496,-0.0012480078,-0.0062624915,0.004892692,-0.0025539293,-0.000266302,-0.0007048205,-0.00027619387,-0.0059794635,0.0002367487,-0.0012921415
0.0019870854,0.001738912,0.0032238853,0.0022711763,0.00095965643,-0.004480716,-0.015031128,0.0028203817,0.0061003566,0.0006163278,0.0024939633,0.0025150809,-0.0019634645,-0.0007879845,0.00019080291,0.00022353863,-0.0059794635,0.00028355347,-0.0016012535
-0.0015398485,0.011136665,0.0051750676,0.0045373584,0.00016534567,-0.008119455,0.00016236508,-0.00091678667,-0.0035709925,-0.0062097744,-0.0032938367,0.0027817236,-0.002515855,-0.0005688188,-0.0019111112,0.0003313501,0.00052848156,0.00030487555,0.0027313593
0.00029643488,0.00911093,0.0031348683,0.0029996007,0.00079984544,-0.006797393,0.0044219615,-0.0031192217,0.0048121624,0.0020007205,-0.0014589214,0.004116841,-0.001913248,-0.0005423233,-0.0042134835,-0.000131971,0.0004341044,0.00029777683,0.0031399976
-0.002657235,-0.010623379,0.004433095,0.0039884173,0.0033289618,-0.002796036,-0.001694933,0.0033844945,-0.0018539851,-0.0031177814,-0.0012229336,0.0069469623,-0.001958986,-0.0002886592,9.2797294e-05,-3.8124792e-05,-0.007803378,0.00025037458,-0.0014569731
-0.0009050842,-0.0043946784,0.00097509456,0.0034022848,0.0020949722,-0.0042536636,0.0024895996,0.0018654871,0.007315598,0.0003032177,-0.002840086,-0.006689254,-0.0018186045,-0.00015068486,-0.003998004,-0.00014333191,-0.006717271,0.00016022332,-0.0012032358
-0.0033903923,-0.0074991453,0.005826699,0.0029108215,0.001187411,-0.006175354,-0.0017822889,0.0021043776,0.00033939775,-0.0054862187,0.0009996883,-0.009351005,-0.0015768537,-0.00011879192,-0.00030266054,3.4403885e-05,-0.0072891773,0.00029574023,-0.0011486505
-0.0018368,0.007188181,0.0054806853,0.0031183558,0.0007552596,-0.0022457938,0.0031457804,0.00026011944,0.008090899,-0.00079986657,0.004394728,-0.009988475,-0.0035364574,-0.0006454075,0.0020560236,0.00023423428,-0.0067484686,0.00025037458,-0.0016640414
-0.0015058365,-0.0017578979,0.005400894,0.003711513,0.00073179597,-0.0053772954,0.0023857995,-0.00022376962,0.0057499814,-0.00830756,0.0068439813,0.0038892026,-0.0026239965,-0.00044573794,-0.0018417875,0.0002969187,0.00043393244,0.00024643508,0.0030877013
-0.00038610346,-0.0025575536,0.0033784262,0.0025511573,0.0015892051,-0.0071929437,-0.0025853466,0.002661691,0.0011977453,9.052581e-06,-0.0022285187,0.003962331,-0.0026091961,-0.00075043173,0.00041141693,4.9447954e-05,0.00043302026,0.00030240553,0.0033009914
