us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_level,spx_vol_3m,eurusd_return,gbpusd_return,spx_return,ndx_return,gold_return,ecb_level,ecb_yoy,regime_confidence,regime_label_calm,regime_label_credit_stress,regime_label_crisis,regime_label_inflation_stress
-0.04407432,-0.003749537,-0.0011214507,0.005033179,0.031101821,-0.002555794,0.035574447,-0.03507529,0.01366064,0.11002781,-0.011239381,0.0035430777,-0.022554344,-0.0037949062,-0.10598759,8.2880906e-05,0.00011846714,0.0,0.0
-0.014395981,-0.017514313,0.0068095927,0.009093402,-0.023526963,0.0035891377,0.042545907,-0.04558798,-0.006385953,0.009616931,-0.0011809865,0.011696419,-0.028912107,-0.0064381976,-0.08259336,-0.00044322945,0.00011846714,0.0,0.0
-0.017053224,-0.018604225,0.008600196,-0.0063614757,-0.036355916,-0.0015773898,-0.009897061,-0.052525967,-0.078611925,0.011453765,-0.004696156,0.010571822,-0.047690842,-0.009172703,0.058251992,0.0011006587,-0.00011846714,0.0,0.0
-0.0037836167,-0.011828402,0.016319554,-0.0021811826,0.01010638,-0.008778045,0.010814159,-0.0487466,-0.02908384,-0.00043934913,-0.010429988,0.01756541,-0.020224484,-0.002837435,-0.09246561,-1.5656082e-05,-0.00011846714,0.0,0.0
-0.030024765,-0.0057188105,0.019690331,0.012696673,-0.032140043,-0.029551912,0.023055147,-0.03894652,-0.054129075,-0.07002782,0.01710184,0.0047732615,-0.021373324,-0.003057283,-0.08783517,-0.00016450629,0.001842316,0.0,0.0
-0.023411756,-0.00984597,-2.6138849e-05,0.0120383445,0.0063839313,0.0029706068,0.023678498,0.015500807,-0.017954009,0.10751546,-0.011236799,-0.10019478,-0.020328905,-0.0051810145,-0.09973011,-2.0257947e-05,0.00027483373,0.0,0.0
-0.060526535,0.004627956,-0.0017556974,0.005047634,-0.029680634,0.015361101,0.04581885,-0.050397024,0.058015812,0.013256782,0.0012804796,0.010190633,-0.029512487,-0.0059956233,-0.069195025,-0.00047338955,0.00027483373,0.0,0.0
-0.006268796,0.03030294,0.013644454,0.0019236114,-0.029563006,-0.047635913,0.008776823,-0.038224224,-0.022740426,-0.037391376,-0.010791978,-0.072842576,-0.024964454,-0.0019799974,0.033502325,0.0010090333,0.001842316,0.0,0.0
-0.0007694608,0.0012590042,0.013205394,0.00052208296,-0.021868594,0.008374881,0.015198292,-0.048760608,-0.0027971494,0.009185902,-0.007149147,0.008132581,-0.038167175,-0.002148296,0.056691717,0.00070015003,-0.00027483373,0.0,0.0
2.8012462e-06,-0.0081485035,0.013576051,-0.0026494656,-0.011520902,-0.004196309,0.0027280955,0.03498851,0.07085491,0.014294527,-0.008123189,0.016067902,-0.04056819,-0.008171705,0.020343833,0.0011246204,-0.00027483373,0.0,0.0
0.0049682367,0.0074575236,0.018688647,-0.0033507522,-0.02252675,-0.0017849655,-0.029665751,-0.047935292,-0.0263321,0.01101221,-0.0044445344,0.015860735,-0.022975342,-0.0020947517,-0.10221903,-0.00015800065,-0.00027483373,0.0,0.0
0.010443889,-0.015079285,0.012417155,0.044448424,0.012587619,0.023053655,-0.010939525,0.034858163,0.0425943,0.016033072,-0.006330028,-0.00035805642,-0.016905224,-0.0032289017,-0.11769541,-0.00015800065,-0.00027483373,0.0,0.0
0.0036557268,0.010739924,0.018135538,0.028010411,-0.021090014,-0.050073586,0.0009795731,-0.056451898,-0.02384299,-0.004686112,0.0041943802,0.0075464286,-0.029249094,-0.0027373738,0.000650371,-0.0010097419,-0.00027483373,0.0,0.0
-0.0056309234,0.031863052,0.008126051,-0.0026865588,0.016319294,0.011732228,0.024408331,-0.035148453,-0.034865193,-0.09964315,0.01798695,0.013164274,-0.026026411,-0.0027335477,-0.09940335,-9.786386e-05,0.001842316,0.0,0.0
0.04005905,0.02736947,0.0037751186,0.010032515,0.0364522,0.0045419754,0.046021212,-0.025501842,-0.021500528,-0.09082609,0.021712467,0.016688816,-0.025615454,-0.0025239699,0.037372865,0.0010616722,-0.001842316,0.0,0.0
0.044367045,0.017178038,7.4936004e-05,0.044878483,0.015011172,0.0021186431,0.06954947,-0.022748025,-0.018476026,0.14474666,-0.0027635363,-0.08550478,-0.017077373,-0.0032067173,-0.075959526,7.148746e-05,0.00027483373,0.0,0.0
0.053257715,0.007940397,-0.005162292,0.053757865,0.02749198,0.015660416,0.07941653,0.0051305173,-0.025737798,0.28253105,-0.012306149,0.013731148,-0.026800094,-0.007980982,-0.07643749,7.148746e-05,0.00027483373,0.0,0.0
0.027716868,0.011631326,0.0063126087,0.026821658,0.022524247,0.0046661836,0.032946322,0.0072108945,-0.018996963,0.0014228704,-0.013658033,0.020417621,-0.023951564,-0.004140233,-0.09329075,7.148746e-05,0.00027483373,0.0,0.0
0.02994183,-0.020566823,0.005395642,0.014386045,-0.0018814986,0.0077492218,0.00028468246,0.26217285,0.015897378,0.10511773,-0.013933356,-0.071176164,-0.0134172635,-0.0039284388,-0.10131982,8.871546e-05,0.0001656532,0.0,0.0
0.034601703,0.0025640356,0.009637195,0.009788886,0.010222097,0.0123766,-0.013158731,-0.00081965234,-0.007536051,0.12960882,-0.014007881,0.027163211,-0.022415947,-0.0044591697,-0.10465959,-4.2305965e-05,0.00027483373,0.0,0.0
0.030907126,0.036013186,0.007492259,0.020519858,0.011599459,0.01137145,0.044046484,-0.053534485,-0.019155854,-0.073083624,0.019109642,0.024124527,-0.01888057,-0.0023875101,-0.085788764,-9.5744654e-05,0.001842316,0.0,0.0
0.026460096,0.02843909,0.009895491,0.012890434,0.00096465234,0.0120108845,0.036374845,-0.042933747,-0.009243919,-0.020249033,0.01472641,0.024820656,-0.020936187,-0.0015324439,-0.091149494,-9.5744654e-05,0.001842316,0.0,0.0
0.029258052,-0.003822185,0.008794116,0.0015993118,0.0449997,0.021264175,0.050751258,0.0012493448,-0.006078284,0.11051534,-0.013510352,0.009755335,-0.021840163,-0.0044591697,-0.085955605,-4.2305965e-05,0.00027483373,0.0,0.0
0.0105217565,0.018495979,0.01309037,0.012588779,-0.022139104,0.01170836,0.0267915,0.02634871,0.015253719,0.0009986174,-0.0015463737,-0.09960643,-0.015481742,-0.004101431,-0.09149166,-5.484442e-05,0.00027483373,0.0,0.0
0.028083116,0.018879693,0.01163559,0.008532092,-0.0223967,0.010855468,0.027875045,-0.0447956,-0.005685383,0.0061558583,-0.00039888435,0.014017105,-0.023899376,-0.002688528,-0.085950255,-0.002464706,0.00027483373,0.0,0.0
0.019994436,0.013713451,0.020650767,0.007884733,0.013249838,-0.0021517244,-0.008804921,-0.044557095,0.010807759,0.004396687,0.00052644324,0.0003191034,-0.02418259,-0.0032420903,0.06981914,-0.0016161723,0.00027483373,0.0,0.0
0.031328328,0.011542401,-0.0125210695,0.015448076,-0.00016186589,-0.05478552,-0.019442929,-0.0051041255,0.06694271,0.031095034,-0.0030271988,0.02749103,-0.03943387,-0.00605948,0.0855145,0.00080566946,-0.00027483373,0.0,0.0
0.0021489654,-0.0073864427,-0.02751955,-0.06875117,0.026225947,-0.035566892,-0.014535205,0.010518978,-0.004207188,0.13716562,-0.013019698,-0.0035470785,-0.010763403,-0.002740038,-0.14557339,-2.04217e-05,-0.00027483373,0.0,0.0
-0.0053585256,0.0067474474,0.0018958335,-0.05272535,0.0099469,0.005565042,-0.01348734,0.032832943,0.02590979,0.027222065,0.0062981234,-0.081027344,-0.009280908,-0.0035724621,-0.1332833,-0.0024797695,-0.00027483373,0.0,0.0
0.03309355,0.020862568,0.001601457,-0.05940033,-0.020088822,0.013251786,0.010359178,0.044396263,-0.047717936,0.01836183,-0.010776399,0.011898745,-0.020139186,-0.0065985327,-0.14173149,-0.00020677577,-0.00027483373,0.0,0.0
0.0056962436,0.022842761,0.009211098,-0.047677338,0.0009076726,-0.028895268,-0.04821543,-0.044883575,-0.002881609,0.011104542,0.0072616986,0.010331487,-0.0075937463,-0.0008006382,-0.12252823,-0.00028483573,-0.00027483373,0.0,0.0
-0.0032460282,0.015527105,0.0042490084,-0.050721172,-0.0024496247,-0.0017481251,-0.0019838572,-0.048415497,0.05226029,0.011388546,-0.006257868,0.025944903,-0.0062521766,-0.004023616,-0.11103482,-0.00022516414,-0.00027483373,0.0,0.0
0.010690531,0.041341778,0.005051464,-0.08926575,-0.025926616,-0.0029939136,0.01811912,-0.053180344,-0.04534916,-0.10337115,0.016997743,0.009017136,-0.017346604,-0.0035968192,-0.12874511,-0.00010486984,-0.001842316,0.0,0.0
