scenario_name,scenario_description,us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,vix_level,high_yield_spread,spx_return,ndx_return,gold_return,eurusd_return,gbpusd_return,us2y_yield_delta,us10y_yield_delta,yield_spread_delta,us_cpi_yoy_delta,vix_level_delta,high_yield_spread_delta,spx_return_delta,ndx_return_delta,gold_return_delta,eurusd_return_delta,gbpusd_return_delta
baseline,No shock applied. Control scenario.,2.011438848920863,3.0659712230215828,1.0545323741007195,0.025795723083103156,19.14902877697842,5.021474820143885,0.007340919215844005,0.011498287818411694,0.008936342781301591,0.00026037927664598155,-0.0007525204748171774,0.0,0.0,-1.2242904531893868e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
credit_spread_widening_200bps,High-yield spread widening by 200 bps.,2.011438848920863,3.0659712230215828,1.0545323741007195,0.025795723083103156,19.14902877697842,5.041474820143884,-0.004659080784155847,-0.0005017121815881591,0.011936342781301554,0.00026037927664598155,-0.0007525204748171774,0.0,0.0,-1.2242904531893868e-17,0.0,0.0,0.019999999999999754,-0.011999999999999853,-0.011999999999999853,0.0029999999999999623,0.0,0.0
disinflation_growth_scare,"Lower inflation, lower yields, weaker growth, weaker equities, mild gold support.",2.0089388489208635,3.063471223021583,1.0545323741007193,0.015795723083103157,24.14902877697842,5.021474820143885,-0.012159080784155995,-0.008001712181588306,0.013936342781301592,0.00026037927664598155,-0.0007525204748171774,-0.002500000000000043,-0.002500000000000071,-4.099688214808497e-17,-0.01,5.0,0.0,-0.0195,-0.0195,0.005000000000000001,0.0,0.0
hawkish_policy_shock,"Correlated hawkish shock: higher yields, higher inflation, moderately higher VIX, wider spreads.",2.0258138489208632,3.0745962230215826,1.0487823741007194,0.033295723083103156,23.14902877697842,5.026474820143885,-0.01615908078415598,-0.01200171218158829,0.011236342781301568,-0.004739620723354036,-0.005752520474817196,0.0143750000000001,0.008625000000000053,-0.005750000000000053,0.0075,4.0,0.0049999999999999125,-0.023499999999999986,-0.023499999999999986,0.002299999999999976,-0.005000000000000018,-0.005000000000000018
inflation_up_100bps,US inflation shock of +1 percentage point YoY.,2.0139388489208634,3.067471223021583,1.0535323741007194,0.03579572308310316,19.14902877697842,5.021474820143885,0.0013409192158440044,0.005498287818411693,0.013936342781301592,0.00026037927664598155,-0.0007525204748171774,0.0025000000000000426,0.001500000000000053,-0.000999999999999986,0.01,0.0,0.0,-0.006,-0.006,0.005,0.0,0.0
rates_up_100bps,Parallel +100 bps shock to US 2Y and US 10Y yields.,2.0214388489208632,3.0759712230215825,1.0545323741007193,0.025795723083103156,19.14902877697842,5.021474820143885,-0.002659080784155869,0.0014982878184118193,0.00593634278130163,-0.004739620723353956,-0.005752520474817115,0.009999999999999915,0.009999999999999835,-8.97188997755199e-17,0.0,0.0,0.0,-0.009999999999999875,-0.009999999999999875,-0.002999999999999962,-0.004999999999999938,-0.004999999999999938
stagflation_regime,"Higher inflation, wider spreads, higher volatility, weaker equities, supportive gold.",2.015188848920863,3.068221223021583,1.0530323741007195,0.040795723083103155,27.14902877697842,5.0364748201438845,-0.022659080784155947,-0.01850171218158826,0.030286342781301576,0.00026037927664598155,-0.0007525204748171774,0.003750000000000049,0.0022500000000000814,-0.00149999999999997,0.015,8.0,0.014999999999999916,-0.029999999999999947,-0.029999999999999954,0.021349999999999987,0.0,0.0
systemic_crisis,"Severe risk-off crisis with spread widening, volatility spike, large drawdowns, gold support.",2.011438848920863,3.0659712230215828,1.0545323741007195,0.025795723083103156,54.14902877697842,5.081474820143885,-0.07065908078415603,-0.06650171218158835,0.0274363427813016,0.00026037927664598155,-0.0007525204748171774,0.0,0.0,-1.2242904531893868e-17,0.0,35.0,0.0600000000000001,-0.07800000000000003,-0.07800000000000003,0.01850000000000001,0.0,0.0
usd_dollar_squeeze,"Dollar strength regime with weaker EUR/USD and GBP/USD, weaker risk assets, higher stress.",2.011438848920863,3.0659712230215828,1.0545323741007195,0.025795723083103156,24.14902877697842,5.021474820143885,-0.002659080784155995,0.0014982878184116933,0.003936342781301591,-0.019739620723354022,-0.02075252047481718,0.0,0.0,-1.2242904531893868e-17,0.0,5.0,0.0,-0.01,-0.009999999999999998,-0.005,-0.02,-0.02
vix_spike_10pt,Volatility shock with VIX rising by 10 points.,2.011438848920863,3.0659712230215828,1.0545323741007195,0.025795723083103156,29.14902877697842,5.021474820143885,-0.007659080784155994,-0.003501712181588306,0.010936342781301593,0.00026037927664598155,-0.0007525204748171774,0.0,0.0,-1.2242904531893868e-17,0.0,10.0,0.0,-0.015,-0.015,0.002000000000000001,0.0,0.0
