date,spx_return,ndx_return,gold_return,eurusd_return,gbpusd_return,spx_vol_3m,ndx_vol_3m,vix_level,us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_spike,spx_drawdown,ndx_drawdown,ecb_level,ecb_yoy,dxy_return,qqq_return,btc_return
2010-08-01,-0.048611803170382606,-0.053198202219462275,0.054731416915905995,-0.02805483758761765,-0.022164427725312734,0.06850901183046251,0.07376419942088676,26.05,0.47,2.47,2.0,0.011501775395112546,6.92,0,-0.3227420000258169,-0.598114074181871,2009.0,0.0004980079681276006,0.020153602528319915,-0.05266137984433678,-0.07314002434732501
2010-09-01,0.0839284750952826,0.12264018600204658,0.048343170196408054,0.07146983490622799,0.023247126936258848,0.07202370947568465,0.09016173041282381,23.7,0.42,2.53,2.11,0.011183122472331775,6.26,0,-0.26344731440963487,-0.5456769686937224,2009.0,0.0004980079681276006,-0.055350042896483494,0.12374596784757651,-0.04824390736129883
2010-10-01,0.036193000710687595,0.06134624530039417,0.037942695685652304,0.02306622900009883,0.020725804087711117,0.06712855284051275,0.0892529330953188,21.2,0.34,2.63,2.29,0.011666951489314625,5.93,0,-0.23630097200170397,-0.5169333127171521,2009.0,0.0004980079681276006,-0.018591529749609124,0.061451670390306,1.0281877446510228
2010-11-01,-0.002292909487060143,-0.003357084378197126,0.020213008577878663,-0.07170597888796162,-0.03051255825025653,0.04319330186839869,0.06300632267413885,23.54,0.45,2.81,2.36,0.01084544776600338,6.22,0,-0.23805005873317078,-0.5185522893056592,2009.0,0.0004980079681276006,0.049609471083119104,-0.0017265323367950146,0.2837749695869723
2010-12-01,0.06325651722192606,0.046386906039985173,0.024045185737544543,0.03072263476759299,0.0033369728712915416,0.032940164317491236,0.033874196879356736,17.75,0.61,3.3,2.69,0.01437793022217937,5.41,0,-0.1882946727077928,-0.4956933403670893,2010.0,0.0004977600796416404,-0.027087697813596094,0.04647390322804003,0.26613804288706516
2011-01-01,0.02239298525651701,0.028470044565457715,-0.06361207936970416,0.02252929797316839,0.025490770154051087,0.033105762302696226,0.025194062278698002,19.53,0.58,3.42,2.84,0.017007834915029774,5.08,0,-0.1699131265409391,-0.4811293726010951,2010.0,0.0004977600796416404,-0.0164576138259017,0.027885444965542544,0.4697952742079989
2011-02-01,0.031456595040144836,0.029823704466117533,0.05681702023795042,0.008581870851595126,0.015738598614256433,0.021460088217297814,0.009976522161224844,18.35,0.69,3.42,2.73,0.02124898173333145,4.78,0,-0.14338638681278967,-0.46542166154293935,2010.0,0.0004977600796416404,-0.010994076838803634,0.03111805979874739,0.6176437138619857
2011-03-01,-0.0010478506829378123,-0.005117303778176649,0.014823007103931881,0.026088746884850113,-0.0139290951098792,0.016773793069423996,0.019794007599148778,17.74,0.8,3.47,2.67,0.02619241510354109,4.77,0,-0.14428351985955684,-0.46815027377076024,2010.0,0.0004977600796416404,-0.013486276799590195,-0.004492782213138981,-0.11956833622265031
2011-04-01,0.02809691636712916,0.027448081727916993,0.08782284933285013,0.043758274883131984,0.04067984864093705,0.017875699888178803,0.019523583916562785,14.75,0.61,3.32,2.71,0.030772344447868694,4.76,0,-0.11989957273231885,-0.45334982627835485,2010.0,0.0004977600796416404,-0.039389463125871216,0.02832552959595038,1.0293661243733199
2011-05-01,-0.013592893899637262,-0.013206182777184982,-0.017993270255223057,-0.028286651207057104,-0.015441527638357981,0.02138861003661571,0.021520159227538714,15.45,0.45,3.05,2.5999999999999996,0.034589718808965,5.09,0,-0.13178174495604697,-0.4605215287504775,2010.0,0.0004977600796416404,0.023176467181172212,-0.01226165288961015,1.3814877495894429
2011-06-01,-0.01842623330189754,-0.020210965099317493,-0.023036619486589676,0.006715848968691684,-0.02517598269255046,0.025579304476415706,0.02573331479590745,16.52,0.45,3.18,2.73,0.03502318150636041,5.42,0,-0.14763324684712595,-0.47131546395503243,2010.0,0.0004977600796416404,-0.004565555564647598,-0.02046277637055327,0.6493021553743552
2011-07-01,-0.021708367435427242,0.016101442595810346,0.07955047569928456,-0.0064380133066974645,0.023716039614329974,0.004082370327763591,0.0192639336282482,25.25,0.36,2.82,2.46,0.035798809769996165,5.58,0,-0.16593734267900717,-0.46273397849853565,2010.0,0.0004977600796416404,-0.005398144195125457,0.016514509337160546,-0.2221052066388516
2011-08-01,-0.05846749161912042,-0.052924931606336184,0.11635076722359682,-0.001389950880529477,-0.010464251162991465,0.022231014307528506,0.03452881620891482,31.62,0.2,2.23,2.03,0.0375499603070808,7.3,1,-0.21330467670939343,-0.49042939261091806,2010.0,0.0004977600796416404,0.0031074230156999567,-0.052019014313747704,-0.4281860741224073
2011-09-01,-0.0744671275427831,-0.046504079070070294,-0.11697871459515512,-0.07133533453036132,-0.04208899597470215,0.027051519761704865,0.03813423445725227,42.96,0.25,1.92,1.67,0.03812621692818685,8.41,1,-0.2697595167099098,-0.513583941207502,2010.0,0.0004977600796416404,0.05791513193503541,-0.04594798640870097,-0.6094475804851176
2011-10-01,0.10230659165059017,0.09827293873568609,0.05160054535890125,0.03334621539035541,0.030207668087949505,0.09776949251373795,0.08550088520787721,29.96,0.25,2.17,1.92,0.035222681306640524,7.07,0,-0.19109579315597217,-0.46335473778036496,2010.0,0.0004977600796416404,-0.030767743207135913,0.09895775314609816,-0.3795250307029776
